2021-06-21 21:06:18.393 +02:00 [INF] , 2021-04-01_00-40-44_424.jpg, car, 50 %
2021-06-21 21:06:18.412 +02:00 [INF] , 2021-04-01_00-40-44_424.jpg, car, 47 %
2021-06-21 21:06:18.801 +02:00 [INF] , 2021-04-01_00-40-44_629.jpg, car, 63 %
2021-06-21 21:06:18.806 +02:00 [INF] , 2021-04-01_00-40-44_629.jpg, car, 40 %
2021-06-21 21:06:19.124 +02:00 [INF] , 2021-04-01_00-40-44_830.jpg, car, 80 %
2021-06-21 21:06:20.083 +02:00 [INF] , 2021-04-01_00-40-45_629.jpg, car, 32 %
2021-06-21 21:06:35.242 +02:00 [INF] , 2021-04-01_06-37-38_028.jpg, person, 30 %
2021-06-21 21:06:35.485 +02:00 [INF] , 2021-04-01_06-37-38_319.jpg, car, 55 %
2021-06-21 21:06:35.490 +02:00 [INF] , 2021-04-01_06-37-38_319.jpg, car, 37 %
2021-06-21 21:06:35.751 +02:00 [INF] , 2021-04-01_06-37-38_633.jpg, car, 80 %
2021-06-21 21:06:35.976 +02:00 [INF] , 2021-04-01_06-37-38_907.jpg, car, 61 %
2021-06-21 21:06:35.981 +02:00 [INF] , 2021-04-01_06-37-38_907.jpg, person, 32 %
2021-06-21 21:06:36.328 +02:00 [INF] , 2021-04-01_06-37-39_165.jpg, car, 67 %
2021-06-21 21:06:36.630 +02:00 [INF] , 2021-04-01_06-37-39_430.jpg, car, 76 %
2021-06-21 21:06:36.897 +02:00 [INF] , 2021-04-01_06-37-39_744.jpg, car, 83 %
2021-06-21 21:06:37.136 +02:00 [INF] , 2021-04-01_06-37-40_026.jpg, car, 48 %
2021-06-21 21:06:37.140 +02:00 [INF] , 2021-04-01_06-37-40_026.jpg, car, 32 %
2021-06-21 21:06:37.440 +02:00 [INF] , 2021-04-01_06-37-40_264.jpg, car, 91 %
2021-06-21 21:06:37.669 +02:00 [INF] , 2021-04-01_06-37-40_464.jpg, car, 34 %
2021-06-21 21:06:38.783 +02:00 [INF] , 2021-04-01_06-41-42_992.jpg, person, 33 %
2021-06-21 21:06:39.350 +02:00 [INF] , 2021-04-01_06-41-43_715.jpg, person, 39 %
2021-06-21 21:06:39.577 +02:00 [INF] , 2021-04-01_06-41-44_029.jpg, car, 50 %
2021-06-21 21:06:39.581 +02:00 [INF] , 2021-04-01_06-41-44_029.jpg, person, 38 %
2021-06-21 21:06:39.848 +02:00 [INF] , 2021-04-01_06-41-44_299.jpg, car, 42 %
2021-06-21 21:06:39.853 +02:00 [INF] , 2021-04-01_06-41-44_299.jpg, car, 37 %
2021-06-21 21:06:39.857 +02:00 [INF] , 2021-04-01_06-41-44_299.jpg, person, 38 %
2021-06-21 21:06:40.099 +02:00 [INF] , 2021-04-01_06-41-44_615.jpg, car, 83 %
2021-06-21 21:06:40.332 +02:00 [INF] , 2021-04-01_06-41-44_933.jpg, car, 70 %
2021-06-21 21:06:40.549 +02:00 [INF] , 2021-04-01_06-41-45_128.jpg, car, 68 %
2021-06-21 21:06:40.849 +02:00 [INF] , 2021-04-01_06-41-45_408.jpg, car, 59 %
2021-06-21 21:06:41.187 +02:00 [INF] , 2021-04-01_06-41-45_608.jpg, car, 46 %
2021-06-21 21:06:41.457 +02:00 [INF] , 2021-04-01_06-41-45_928.jpg, car, 86 %
2021-06-21 21:06:41.757 +02:00 [INF] , 2021-04-01_06-41-46_149.jpg, car, 85 %
2021-06-21 21:06:41.983 +02:00 [INF] , 2021-04-01_06-41-46_447.jpg, car, 79 %
2021-06-21 21:06:41.986 +02:00 [INF] , 2021-04-01_06-41-46_447.jpg, car, 53 %
2021-06-21 21:06:42.232 +02:00 [INF] , 2021-04-01_06-41-46_650.jpg, car, 90 %
2021-06-21 21:06:42.473 +02:00 [INF] , 2021-04-01_06-41-46_936.jpg, car, 87 %
2021-06-21 21:06:42.704 +02:00 [INF] , 2021-04-01_06-41-47_168.jpg, car, 63 %
2021-06-21 21:06:43.845 +02:00 [INF] , 2021-04-01_06-41-58_934.jpg, person, 35 %
2021-06-21 21:06:44.129 +02:00 [INF] , 2021-04-01_06-41-59_450.jpg, person, 34 %
2021-06-21 21:06:44.408 +02:00 [INF] , 2021-04-01_06-42-00_574.jpg, person, 32 %
2021-06-21 21:06:44.639 +02:00 [INF] , 2021-04-01_06-42-00_858.jpg, person, 45 %
2021-06-21 21:06:44.890 +02:00 [INF] , 2021-04-01_06-42-01_178.jpg, car, 41 %
2021-06-21 21:06:44.894 +02:00 [INF] , 2021-04-01_06-42-01_178.jpg, person, 39 %
2021-06-21 21:06:45.161 +02:00 [INF] , 2021-04-01_06-42-01_454.jpg, person, 56 %
2021-06-21 21:06:45.165 +02:00 [INF] , 2021-04-01_06-42-01_454.jpg, car, 47 %
2021-06-21 21:06:45.471 +02:00 [INF] , 2021-04-01_06-42-01_694.jpg, person, 50 %
2021-06-21 21:06:45.476 +02:00 [INF] , 2021-04-01_06-42-01_694.jpg, car, 44 %
2021-06-21 21:06:45.808 +02:00 [INF] , 2021-04-01_06-42-01_896.jpg, car, 62 %
2021-06-21 21:06:46.035 +02:00 [INF] , 2021-04-01_06-42-02_184.jpg, person, 39 %
2021-06-21 21:06:46.313 +02:00 [INF] , 2021-04-01_06-42-02_505.jpg, car, 43 %
2021-06-21 21:06:46.317 +02:00 [INF] , 2021-04-01_06-42-02_505.jpg, person, 42 %
2021-06-21 21:06:46.646 +02:00 [INF] , 2021-04-01_06-42-02_706.jpg, person, 34 %
2021-06-21 21:06:46.886 +02:00 [INF] , 2021-04-01_06-42-03_012.jpg, car, 60 %
2021-06-21 21:06:47.140 +02:00 [INF] , 2021-04-01_06-42-03_218.jpg, car, 51 %
2021-06-21 21:06:47.430 +02:00 [INF] , 2021-04-01_06-42-03_493.jpg, car, 30 %
